year,date,country,province,confirm,dead,heal,confirm_add,confirm_cuts,dead_cuts,now_confirm_cuts,heal_cuts,newConfirm,newHeal,newDead,description,wzz,wzz_add,_mtime,dateId
2020,08.08,中国,湖北,68139,4512,63623,0,,,,,0,0,0,湖北省累计报告境外输入病例5例,0,0,2020-08-08T01:34:49Z,2020-08
2020,08.09,中国,湖北,68139,4512,63623,0,,,,,0,0,0,湖北省累计报告境外输入病例5例,0,0,2020-08-09T00:18:06Z,2020-08
2020,08.10,中国,湖北,68139,4512,63623,0,,,,,0,0,0,湖北省累计报告境外输入病例5例,0,0,2020-08-10T00:44:41Z,2020-08
2020,08.11,中国,湖北,68139,4512,63623,0,,,,,0,0,0,湖北省累计报告境外输入病例5例,0,0,2020-08-11T01:23:02Z,2020-08
2020,08.12,中国,湖北,68139,4512,63623,0,,,,,0,0,0,湖北省累计报告境外输入病例5例,0,0,2020-08-12T01:15:30Z,2020-08
2020,08.13,中国,湖北,68139,4512,63623,0,,,,,0,0,0,湖北省累计报告境外输入病例5例,0,0,2020-08-13T00:48:27Z,2020-08
2020,08.14,中国,湖北,68139,4512,63625,0,,,,,0,2,0,湖北省累计报告境外输入病例5例,0,0,2020-08-14T00:37:35Z,2020-08
2020,08.15,中国,湖北,68139,4512,63625,0,,,,,0,0,0,湖北省累计报告境外输入病例5例,0,0,2020-08-15T00:40:42Z,2020-08
2020,08.16,中国,湖北,68139,4512,63625,0,,,,,0,0,0,湖北省累计报告境外输入病例5例,0,0,2020-08-16T01:15:25Z,2020-08
2020,08.17,中国,湖北,68139,4512,63625,0,,,,,0,0,0,湖北省累计报告境外输入病例5例,0,0,2020-08-17T00:52:37Z,2020-08
2020,08.18,中国,湖北,68139,4512,63626,0,,,,,0,1,0,,0,0,2020-08-18T00:49:05Z,2020-08
2020,08.19,中国,湖北,68139,4512,63626,0,,,,,0,0,0,,0,0,2020-08-19T01:28:49Z,2020-08
2020,08.20,中国,湖北,68139,4512,63626,0,,,,,0,0,0,,0,0,2020-08-20T00:10:52Z,2020-08
2020,08.21,中国,湖北,68139,4512,63626,0,,,,,0,0,0,,0,0,2020-08-21T00:55:35Z,2020-08
2020,08.22,中国,湖北,68139,4512,63626,0,,,,,0,0,0,,0,0,2020-08-22T00:37:27Z,2020-08
2020,08.23,中国,湖北,68139,4512,63626,0,,,,,0,0,0,,0,0,2020-08-23T00:59:53Z,2020-08
2020,08.24,中国,湖北,68139,4512,63626,0,,,,,0,0,0,,0,0,2020-08-24T00:18:51Z,2020-08
2020,08.25,中国,湖北,68139,4512,63626,0,,,,,0,0,0,,0,0,2020-08-25T00:46:03Z,2020-08
2020,08.26,中国,湖北,68139,4512,63626,0,,,,,0,0,0,,0,0,2020-08-26T00:39:19Z,2020-08
2020,08.27,中国,湖北,68139,4512,63626,0,,,,,0,0,0,,0,0,2020-08-27T00:48:15Z,2020-08
2020,08.28,中国,湖北,68139,4512,63626,0,,,,,0,0,0,,0,0,2020-08-28T00:48:00Z,2020-08
2020,08.29,中国,湖北,68139,4512,63626,0,,,,,0,0,0,,0,0,2020-08-29T00:31:07Z,2020-08
2020,08.30,中国,湖北,68139,4512,63627,0,,,,,0,1,0,,0,0,2020-08-30T00:38:02Z,2020-08
2020,08.31,中国,湖北,68139,4512,63627,0,,,,,0,0,0,,0,0,2020-08-31T00:22:43Z,2020-08
2020,09.01,中国,湖北,68139,4512,63627,0,,,,,0,0,0,,0,0,2020-09-01T01:28:01Z,2020-09
2020,09.02,中国,湖北,68139,4512,63627,0,,,,,0,0,0,,0,0,2020-09-02T00:16:01Z,2020-09
2020,09.03,中国,湖北,68139,4512,63627,0,,,,,0,0,0,,0,0,2020-09-03T00:38:59Z,2020-09
2020,09.04,中国,湖北,68139,4512,63627,0,,,,,0,0,0,,0,0,2020-09-04T00:37:40Z,2020-09
2020,09.05,中国,湖北,68139,4512,63627,0,,,,,0,0,0,,0,0,2020-09-05T00:38:47Z,2020-09
2020,09.06,中国,湖北,68139,4512,63627,0,,,,,0,0,0,,0,0,2020-09-06T00:23:35Z,2020-09
2020,09.07,中国,湖北,68139,4512,63627,0,,,,,0,0,0,,0,0,2020-09-07T00:53:14Z,2020-09
2020,09.08,中国,湖北,68139,4512,63627,0,,,,,0,0,0,,0,0,2020-09-08T00:51:50Z,2020-09
2020,09.09,中国,湖北,68139,4512,63627,0,,,,,0,0,0,,0,0,2020-09-09T00:46:11Z,2020-09
2020,09.10,中国,湖北,68139,4512,63627,0,,,,,0,0,0,,0,0,2020-09-10T00:39:17Z,2020-09
2020,09.11,中国,湖北,68139,4512,63627,0,,,,,0,0,0,,0,0,2020-09-11T00:40:46Z,2020-09
2020,09.12,中国,湖北,68139,4512,63627,0,,,,,0,0,0,,0,0,2020-09-12T00:58:53Z,2020-09
2020,09.13,中国,湖北,68139,4512,63627,0,,,,,0,0,0,,0,0,2020-09-13T01:04:08Z,2020-09
2020,09.14,中国,湖北,68139,4512,63627,0,,,,,0,0,0,,0,0,2020-09-14T04:59:50Z,2020-09
2020,09.15,中国,湖北,68139,4512,63627,0,,,,,0,0,0,,0,0,2020-09-15T00:41:25Z,2020-09
